,Dates,Traveler,Member,Party,State / District,Destination,Sponsor,Filing Type,hrefs,Page #
44,"Feb. 17, 2023 - Feb. 24, 2023",Colin Allred,Colin Allred,D,TX-32,Israel,J Street Education Fund,Original,https://disclosures-clerk.house.gov/gtimages/MT/2023/500025871.pdf,31
45,"Feb. 17, 2023 - Feb. 24, 2023",Jim McGovern,Jim McGovern,D,MA-2,Israel,J Street Education Fund,Original,https://disclosures-clerk.house.gov/gtimages/MT/2023/500025876.pdf,31
46,"Feb. 17, 2023 - Feb. 24, 2023",Jimmy Gomez,Jimmy Gomez,D,CA-34,Israel,J Street Education Fund,Original,https://disclosures-clerk.house.gov/gtimages/MT/2023/500025877.pdf,31
47,"Feb. 17, 2023 - Feb. 24, 2023",Susan Wild,Susan Wild,D,PA-7,Israel,J Street Education Fund,Original,https://disclosures-clerk.house.gov/gtimages/MT/2023/500025990.pdf,31
48,"Feb. 18, 2023 - Feb. 24, 2023",Veronica Escobar,Veronica Escobar,D,TX-16,Israel,J Street Education Fund,Amendment,https://disclosures-clerk.house.gov/gtimages/MT/2023/500026682.pdf,31
49,"Feb. 17, 2023 - Feb. 24, 2023",Katie Porter,Katie Porter,D,CA-47,Israel,J Street Education Fund,Original,https://disclosures-clerk.house.gov/gtimages/MT/2023/500025881.pdf,31
0,"Feb. 17, 2023 - Feb. 24, 2023",Kim Schrier,Kim Schrier,D,WA-8,Israel,J Street Education Fund,Original,https://disclosures-clerk.house.gov/gtimages/MT/2023/500025883.pdf,32
1,"Feb. 23, 2023 - Feb. 24, 2023",Sophia Schilling,Betty McCollum,D,MN-4,"New York, NY","World Vision Inc, and Bill & Melinda Gates Foundation",Original,https://disclosures-clerk.house.gov/gtimages/ST/2023/500025889.pdf,32
2,"Feb. 17, 2023 - Feb. 24, 2023",Mike Levin,Mike Levin,D,CA-49,Israel,J Street Education Fund,Original,https://disclosures-clerk.house.gov/gtimages/MT/2023/500026523.pdf,32
3,"Feb. 18, 2023 - Feb. 24, 2023",Veronica Escobar,Veronica Escobar,D,TX-16,Israel,J Street Education Fund,Original,https://disclosures-clerk.house.gov/gtimages/MT/2023/500025893.pdf,32
4,"Feb. 23, 2023 - Feb. 24, 2023",Anna May,Michael Guest,R,MS-3,"New York, NY",World Vision Inc. and the Bill & Melinda Gates Foundation,Original,https://disclosures-clerk.house.gov/gtimages/ST/2023/500025906.pdf,32
5,"Feb. 17, 2023 - Feb. 24, 2023",Mike Thompson,Mike Thompson,D,CA-4,Israel,J Street Education Fund,Original,https://disclosures-clerk.house.gov/gtimages/MT/2023/500025916.pdf,32
6,"Feb. 24, 2023 - Feb. 24, 2023",Alexandra Schnelle,Steve Cohen,D,TN-9,"Charlotte, NC",Zipline International,Original,https://disclosures-clerk.house.gov/gtimages/ST/2023/500025859.pdf,32
7,"Feb. 24, 2023 - Feb. 24, 2023",Samuel Morgante,Donald M. Payne Jr.,D,NJ-10,"Charlotte, NC",Zipline International,Original,https://disclosures-clerk.house.gov/gtimages/ST/2023/500025862.pdf,32
8,"Feb. 23, 2023 - Feb. 24, 2023",Abigail Killian,Colin Allred,D,TX-32,"New York, NY",World Vision Inc. and the Bill & Melinda Gates Foundation,Original,https://disclosures-clerk.house.gov/gtimages/ST/2023/500025930.pdf,32
9,"Feb. 23, 2023 - Feb. 24, 2023",Amelia Faraco-Hadlock,Jennifer Wexton,D,VA-10,"New York, NY",World Vision Inc. and the Bill & Melinda Gates Foundation,Original,https://disclosures-clerk.house.gov/gtimages/ST/2023/500025933.pdf,32
10,"Feb. 23, 2023 - Feb. 24, 2023",John Kolb,Maria Elvira Salazar,R,FL-27,"New York, NY",World Vision Inc. and the Bill & Melinda Gates Foundation,Original,https://disclosures-clerk.house.gov/gtimages/ST/2023/500025948.pdf,32
